country,income,gdpp
Afghanistan,1610,553
Albania,9930,4090
Algeria,12900,4460
Angola,5900,3530
Antigua and Barbuda,19100,12200
Argentina,18700,10300
Armenia,6700,3220
Australia,41400,51900
Austria,43200,46900
Azerbaijan,16000,5840
Bahamas,22900,28000
Bahrain,41100,20700
Bangladesh,2440,758
Barbados,15300,16000
Belarus,16200,6030
Belgium,41100,44400
Belize,7880,4340
Benin,1820,758
Bhutan,6420,2180
Bolivia,5410,1980
Bosnia and Herzegovina,9720,4610
Botswana,13300,6350
Brazil,14500,11200
Brunei,80600,35300
Bulgaria,15300,6840
Burkina Faso,1430,575
Burundi,764,231
Cambodia,2520,786
Cameroon,2660,1310
Canada,40700,47400
Cape Verde,5830,3310
Central African Republic,888,446
Chad,1930,897
Chile,19400,12900
China,9530,4560
Colombia,10900,6250
Comoros,1410,769
"Congo, Dem. Rep.",609,334
"Congo, Rep.",5190,2740
Costa Rica,13000,8200
Cote d'Ivoire,2690,1220
Croatia,20100,13500
Cyprus,33900,30800
Czech Republic,28300,19800
Denmark,44000,58000
Dominican Republic,11100,5450
Ecuador,9350,4660
Egypt,9860,2600
El Salvador,7300,2990
Equatorial Guinea,33700,17100
Eritrea,1420,482
Estonia,22700,14600
Fiji,7350,3650
Finland,39800,46200
France,36900,40600
Gabon,15400,8750
Gambia,1660,562
Georgia,6730,2960
Germany,40400,41800
Ghana,3060,1310
Greece,28700,26900
Grenada,11200,7370
Guatemala,6710,2830
Guinea,1190,648
Guinea-Bissau,1390,547
Guyana,5840,3040
Haiti,1500,662
Hungary,22300,13100
Iceland,38800,41900
India,4410,1350
Indonesia,8430,3110
Iran,17400,6530
Iraq,12700,4500
Ireland,45700,48700
Israel,29600,30600
Italy,36200,35800
Jamaica,8000,4680
Japan,35800,44500
Jordan,9470,3680
Kazakhstan,20100,9070
Kenya,2480,967
Kiribati,1730,1490
Kuwait,75200,38500
Kyrgyz Republic,2790,880
Lao,3980,1140
Latvia,18300,11300
Lebanon,16300,8860
Lesotho,2380,1170
Liberia,700,327
Libya,29600,12100
Lithuania,21100,12000
Luxembourg,91700,105000
"Macedonia, FYR",11400,4540
Madagascar,1390,413
Malawi,1030,459
Malaysia,21100,9070
Maldives,10500,7100
Mali,1870,708
Malta,28300,21100
Mauritania,3320,1200
Mauritius,15900,8000
"Micronesia, Fed. Sts.",3340,2860
Moldova,3910,1630
Mongolia,7710,2650
Montenegro,14000,6680
Morocco,6440,2830
Mozambique,918,419
Myanmar,3720,988
Namibia,8460,5190
Nepal,1990,592
Netherlands,45500,50300
New Zealand,32300,33700
Niger,814,348
Nigeria,5150,2330
Norway,62300,87800
Oman,45300,19300
Pakistan,4280,1040
Panama,15400,8080
Paraguay,7290,3230
Peru,9960,5020
Philippines,5600,2130
Poland,21800,12600
Portugal,27200,22500
Qatar,125000,70300
Romania,17800,8230
Russia,23100,10700
Rwanda,1350,563
Samoa,5400,3450
Saudi Arabia,45400,19300
Senegal,2180,1000
Serbia,12700,5410
Seychelles,20400,10800
Sierra Leone,1220,399
Singapore,72100,46600
Slovak Republic,25200,16600
Slovenia,28700,23400
Solomon Islands,1780,1290
South Africa,12000,7280
South Korea,30400,22100
Spain,32500,30700
Sri Lanka,8560,2810
St. Vincent and the Grenadines,9920,6230
Sudan,3370,1480
Suriname,14200,8300
Sweden,42900,52100
Switzerland,55500,74600
Tajikistan,2110,738
Tanzania,2090,702
Thailand,13500,5080
Timor-Leste,1850,3600
Togo,1210,488
Tonga,4980,3550
Tunisia,10400,4140
Turkey,18000,10700
Turkmenistan,9940,4440
Uganda,1540,595
Ukraine,7820,2970
United Arab Emirates,57600,35000
United Kingdom,36200,38900
United States,49400,48400
Uruguay,17100,11900
Uzbekistan,4240,1380
Vanuatu,2950,2970
Venezuela,16500,13500
Vietnam,4490,1310
Yemen,4480,1310
Zambia,3280,1460
